№,Название,ссылка YouTube,Ссылка RuTube
1,Quick Tour по платформе Spread Insight для арбитражной торговли на Московской бирже ,https://youtu.be/91iozEzYIng,https://rutube.ru/video/3cd1a6283623bf318a132724cb545e70/
2,Spread Insight - скринер арбитражных возможностей ,https://youtu.be/uK88zY67xT0,https://rutube.ru/video/3e3c03429baaf4dc6cd5a6bb6aef3142/
3,Обновление Spread Insight v 1.1.0- Расчет сделки для текущего отклонения ,https://youtu.be/Dz83OxPib6U,https://rutube.ru/video/c697168a2d503cb3eac49d32bffad29d/
4,Обновление Spread Insight v 1.1.0- Автообновление графика спреда,https://youtu.be/Y2QzEk7-WLc,https://rutube.ru/video/564d5f672655b453e7763cfbe5392d1d/
5,Обновление Spread Insight v 1.2.0 Оповещения в Telegram,https://youtu.be/52o813QNIds,https://rutube.ru/video/df9ac2467fc80a76ba6a3def3ceecd0a/
6,Обновление Spread Insight v 1.2.0 Криптоскринер,https://youtu.be/wkdBKOpYHik,https://rutube.ru/video/5638973d16f74cb4d09fe15b3a630552/
7,Обновление Spread Insight- Конструктор Спредов,https://youtu.be/y8kXM0ukAeA,https://rutube.ru/video/b726db2ceb93e676c4ae66126c2ec625/
8,Конструктор Спредов. Инструкция по применению,https://youtu.be/u12EBlUOUs8,https://rutube.ru/video/b726db2ceb93e676c4ae66126c2ec625/
9,Обновление Spread Insight v 1.4.0 ИИ Ассистент,https://youtu.be/-zvKE6QANLc,https://rutube.ru/video/2666c7916bc077e993439fa631e52757/
10,Обновление Spread Insight v 1.4.1 Список нововведений,https://youtu.be/fNTvVDq_l6o,https://rutube.ru/video/ec2684dbe324f14b2ca30ff9425beeca/
11,Обновление Spread Insight v 1.6.1 Коллекции спредов,https://youtu.be/K6JTIrr0HiQ,https://rutube.ru/video/b565f99c59862ece45e3e69bb4fc0060/
12,14 FAQ_2 Рабочее место арбитражера за 5 минут,https://youtu.be/2-IIIly-XDc,https://rutube.ru/video/e3dd55aab936e745b683a0b238242c5f/
13,Как инвестору получить преимущество с помощью арбитражного скринера Spread Insight,https://youtu.be/GVH2Ek2Sx84,https://rutube.ru/video/04c313a2cc60cc539b151f45a2b98b03/
14,"16 Алексей Адамович. Практика по Фьючерсам, арбитражные стратегии и обзор сервиса Spread Insight",https://youtu.be/nuYZz681v6U,https://rutube.ru/video/e5040e7531426d71324db878a50010b5/
15,17 Как использовать Spread Insight для арбитража криптовалют,https://youtu.be/BnkAP9N0jRk,https://rutube.ru/video/b33facf93fc9e8fc657d03d8e292ee15/
